Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
maluku utara - halmahera tengah,3,5.00,11.44,4.21,0.19,35.58,9.48,3.12,65.06,29.50,52.96,375,
maluku utara - halmahera utara,4,4.36,4.62,12.71,0.13,27.66,8.87,2.80,70.11,24.30,62.34,339,
maluku utara - halmahera selatan,3,5.00,5.68,19.71,6.55,38.45,8.41,4.27,66.50,30.40,52.69,376,
maluku utara - kepulauan sula,3,5.00,8.17,17.48,1.63,47.20,9.34,4.27,63.94,18.80,51.76,378,
maluku utara - halmahera timur,6,0.84,12.47,16.77,0.91,36.14,8.88,8.88,69.90,19.00,79.63,172,
maluku utara - pulau morotai,4,4.27,5.38,23.90,0.00,33.98,7.91,4.00,68.10,11.70,60.71,348,
maluku utara - pulau taliabu,2,5.00,7.31,21.22,20.79,45.09,8.62,5.23,62.79,30.60,48.28,384,
maluku utara - kota ternate,6,0.00,3.39,5.25,0.00,6.54,11.74,0.12,71.70,21.10,88.24,30,
maluku utara - kota tidore kepulauan,5,0.00,6.35,7.71,0.00,37.75,10.17,1.44,70.10,21.30,64.68,95,
papua - merauke,6,0.24,10.01,11.18,6.21,23.56,10.06,32.29,67.60,23.80,84.07,87,
papua - jayawijaya,1,5.00,34.71,37.14,9.85,77.16,6.19,3.68,60.50,33.20,30.40,404,
papua - jayapura,4,2.48,11.45,29.35,2.77,38.66,9.99,13.14,67.78,26.90,66.89,323,
papua - nabire,4,2.64,23.35,11.85,4.12,21.23,10.45,10.20,68.73,22.20,66.97,321,
papua - kepulauan yapen,2,5.00,25.89,20.37,18.90,27.44,9.16,3.34,69.63,39.90,46.80,389,
papua - biak numfor,2,5.00,23.53,8.70,0.06,39.30,10.17,1.82,68.74,33.70,49.23,383,
papua - puncak jaya,1,5.00,35.60,31.47,57.88,88.21,4.51,29.20,65.90,0.00,24.19,408,
papua - paniai,1,5.00,35.39,58.08,40.36,99.01,3.97,7.96,67.22,0.00,22.27,411,
papua - mimika,6,0.73,13.55,8.46,7.21,20.61,9.96,9.57,72.83,24.70,83.64,97,
papua - sarmi,4,2.71,13.21,27.48,5.58,40.22,10.03,37.92,67.07,26.50,63.07,334,
papua - keerom,3,3.05,15.68,22.70,6.70,75.39,8.41,18.50,67.24,34.40,54.21,368,
papua - pegunungan bintang,1,5.00,29.79,47.68,70.03,79.27,3.52,39.40,64.99,0.00,25.07,407,
papua - yahukimo,1,5.00,36.08,62.73,49.73,66.40,4.13,45.09,66.42,0.00,25.62,406,
papua - tolikara,1,5.00,31.57,80.25,9.58,97.09,2.38,10.42,66.33,0.00,22.83,410,
papua - waropen,2,3.74,29.16,22.18,12.17,59.99,8.86,35.11,66.92,26.20,47.38,387,
papua - boven digoel,2,5.00,19.80,22.29,11.35,39.30,9.16,35.64,60.97,31.40,43.19,393,
papua - mappi,1,4.62,25.72,39.80,20.82,81.80,6.96,45.27,65.90,28.60,35.44,401,
papua - asmat,2,2.16,24.36,42.02,51.30,83.74,6.30,40.28,59.19,0.00,45.99,391,
papua - supiori,1,5.00,36.99,58.02,25.66,63.52,9.27,1.64,66.66,37.70,32.69,402,
papua - mamberamo raya,1,5.00,29.63,55.64,6.95,98.98,8.59,86.82,58.54,40.00,23.09,409,
papua - mamberamo tengah,1,5.00,35.42,90.22,14.40,99.00,5.00,32.55,64.14,33.00,21.51,412,
papua - yalimo,1,5.00,30.97,21.48,38.06,50.98,6.78,17.30,65.95,0.00,37.80,398,
papua - lanny jaya,1,5.00,36.94,91.50,21.30,99.62,4.28,8.67,66.51,39.50,21.33,414,
papua - nduga,1,5.00,37.09,59.71,38.00,98.15,4.64,26.28,55.72,0.00,17.10,415,
papua - puncak,1,5.00,36.44,93.04,19.10,21.79,1.43,53.48,66.40,0.00,30.12,405,
papua - dogiyai,1,4.48,29.20,49.11,58.86,66.66,4.30,12.95,66.39,0.00,31.37,403,
papua - intan jaya,1,5.00,40.01,61.16,69.89,92.00,1.28,60.62,66.12,0.00,14.14,416,
papua - deiyai,1,5.00,38.66,52.50,27.85,92.00,2.23,20.93,65.93,50.20,21.35,413,
papua - kota jayapura,6,0.00,10.50,4.53,0.00,9.55,11.68,0.35,71.07,21.30,78.35,76,
papua barat - sorong,2,4.05,26.88,9.48,0.62,52.18,9.07,6.37,66.89,27.30,50.88,380,
papua barat - manokwari,5,1.71,18.73,7.11,0.00,43.21,9.64,2.07,69.55,0.00,71.81,289,
papua barat - fakfak,2,5.00,21.38,9.95,2.65,50.37,10.78,10.15,69.02,30.50,48.20,385,
papua barat - sorong selatan,1,5.00,18.11,20.70,20.76,79.81,8.23,10.30,67.01,31.30,40.39,397,
papua barat - raja ampat,3,3.64,16.76,22.53,5.98,49.35,8.55,9.53,65.41,30.90,54.42,367,
papua barat - teluk bintuni,2,5.00,28.24,18.33,4.55,42.97,9.90,24.62,61.76,19.60,43.12,395,
papua barat - teluk wondama,1,5.00,28.90,23.42,13.69,72.04,8.44,10.80,60.86,19.70,36.76,399,
papua barat - kaimana,2,5.00,14.57,19.07,12.83,43.79,9.86,24.48,65.62,25.70,48.19,386,
papua barat - tambrauw,2,3.42,31.23,29.51,5.81,47.00,8.33,56.66,61.14,31.80,45.92,392,
papua barat - maybrat,1,5.00,30.28,4.43,0.24,61.00,9.97,15.17,65.82,0.00,41.27,396,
papua barat - manokwari selatan,5,1.01,27.80,11.84,3.60,18.33,8.48,5.89,68.09,20.40,74.91,256,
papua barat - pegunungan arfak,1,5.00,32.29,23.13,35.55,58.55,6.35,20.75,67.71,34.70,35.53,400,
papua barat - kota sorong,6,0.00,14.41,4.77,0.00,5.16,11.63,0.17,71.92,31.00,76.32,81,
