Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jambi - merangin,5,1.73,8.90,13.90,0.09,50.04,8.61,3.48,71.75,14.90,75.01,255,
jambi - sarolangun,4,3.10,8.54,19.54,0.56,49.63,8.20,4.47,69.70,4.80,65.64,330,
jambi - batanghari,5,2.33,9.45,17.35,0.73,28.95,8.42,4.41,71.22,10.10,74.13,263,
jambi - muaro jambi,5,3.49,4.43,28.18,0.09,29.18,9.09,3.41,71.84,12.00,68.51,315,
jambi - tanjung jabung barat,5,2.12,9.79,24.72,0.71,53.10,8.59,4.23,68.67,14.10,69.60,309,
jambi - tanjung jabung timur,5,1.64,10.85,32.40,0.81,49.09,8.15,4.79,66.98,23.70,69.99,308,
jambi - bungo,5,2.49,5.29,20.12,0.31,26.74,8.53,2.66,68.43,13.70,73.39,272,
jambi - tebo,5,2.66,6.46,20.20,0.29,28.31,8.40,5.11,70.49,22.70,71.36,294,
jambi - kota jambi,6,0.00,8.24,7.96,0.00,9.34,11.34,0.04,73.29,13.50,85.88,44,
jambi - kota sungai penuh,6,0.00,3.00,12.43,0.00,8.00,10.04,0.32,72.86,4.10,87.06,39,
sumatera selatan - ogan komering ulu,5,2.19,11.46,24.62,0.00,27.60,9.40,1.75,68.85,15.70,73.01,278,
sumatera selatan - ogan komering ilir,6,0.27,13.15,36.91,0.00,31.03,7.51,6.17,69.31,32.50,79.54,176,
sumatera selatan - muara enim,5,1.59,10.93,16.02,0.18,30.27,8.12,2.57,69.72,25.90,75.62,247,
sumatera selatan - lahat,5,1.09,15.00,31.54,0.00,40.77,8.73,1.94,66.87,7.80,75.19,253,
sumatera selatan - musi rawas,6,0.53,14.13,36.99,0.12,39.52,7.85,3.73,68.95,21.90,77.66,211,
sumatera selatan - musi banyuasin,6,0.71,14.90,28.89,0.55,28.89,8.14,6.17,69.51,16.50,79.48,179,
sumatera selatan - banyuasin,6,0.17,9.58,40.25,0.00,55.26,7.60,5.17,69.76,20.40,79.17,183,
sumatera selatan - ogan komering ulu timur,6,0.17,9.99,21.23,0.00,37.40,8.40,1.46,69.78,9.30,85.17,69,
sumatera selatan - ogan komering ulu selatan,5,0.67,10.36,46.29,3.64,49.77,8.40,2.53,67.88,23.00,75.37,248,
sumatera selatan - ogan ilir,6,0.69,13.28,40.91,0.02,28.50,8.35,1.34,66.33,22.90,77.55,213,
sumatera selatan - empat lawang,4,1.12,11.80,36.44,0.32,71.69,7.83,2.38,65.73,32.60,67.42,317,
sumatera selatan - penukal abab lematang ilir,6,1.14,10.91,16.06,0.00,31.52,7.53,1.98,68.96,15.40,78.79,195,
sumatera selatan - musi rawas utara,3,2.66,18.26,37.47,0.81,44.73,7.70,6.83,66.37,33.10,59.58,356,
sumatera selatan - kota palembang,6,0.00,10.22,12.57,0.00,2.15,11.09,0.04,71.99,18.90,83.62,56,
